refuser_id,real_estate_alert_id,subscription_date,unsubscription_date,platform,distribution_type,estate_type,living_area_min,living_area_max,price_min,price_max,number_of_rooms,location_zipcodes,location_departement,gateway
f21305ae-b266-4140-93fe-b22454100f77,61330258,2021-02-28 18:14:29.000000,,LOGICIMMO,BUY,"{HOUSEORVILLA,YARD}",0,10000,0,85000,"{3,4,5}",,,
e0be67e6-7602-41eb-81ea-37a97de3d4fc,63927497,2021-12-13 14:51:18.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{31220},,
1f2cbb80-9f49-4052-b993-8ac807b67ca0,60917003,2021-01-14 14:54:04.000000,2021-04-02 10:51:24.000000,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{06110},,
520b396e-76c8-4c89-bc9e-551386529891,61117059,2021-02-05 11:40:25.000000,2021-03-17 16:56:56.000000,LOGICIMMO,BUY,{HOUSEORVILLA},0,10000,0,2000000000,"{1,2,3,4,5}","{94100,94130,94300}",,
3c3a44f7-75a0-4240-85f2-06ccc5d0fd43,63058182,2021-08-25 18:38:34.000000,,LOGICIMMO,RENT,{HOUSEORVILLA},90,1000,0,850,"{1,2,3,4,5}",,{11},
d6c1fdfc-c034-427b-9aa4-943c608a63e0,62487098,2021-06-28 09:50:22.000000,,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA}",45,1000,0,55,"{1,2,3,4,5}",,{13},
79b02e2b-5666-4a95-a860-02de5a6ada0d,63938120,2021-12-15 12:02:55.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{74200},,
86d89320-cf1e-463a-bfa5-3c7659f5cb7c,61204343,2021-02-15 09:31:31.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{06270},,
a8be215d-d152-4be7-891a-1956c2a259a5,61751761,2021-04-15 06:35:16.000000,,LOGICIMMO,BUY,"{HOUSEORVILLA,PARKING,YARD}",100,1000,0,210,"{1,2,3,4,5}",{29250},,
9f30e368-afba-4bf9-8e75-dd65f967be5d,62767545,2021-07-27 11:58:59.000000,,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA}",25,1000,0,400,"{1,2,3,4,5}",,{16},
a1b754bf-e5f0-440a-a225-2a6b1a03f469,61413991,2021-03-10 10:54:23.000000,,LOGICIMMO,RENT,{APARTMENT},100,10000,3000,5000,"{1,2,3,4,5}",{06600},,
